follower_name,similarity_score
A17IH,0.9999884064562403
ARANJAN94,0.999987212009297
AlexWehrley,0.9999962459278915
AnandaDairy,0.9999924488901359
AngCleveland,0.9999652810711488
Anil38_ak,0.9999933788875442
AntarikshaRajk1,0.999987316385961
AnubhaKushwaha1,0.9999926090776561
BIZBoost,0.9999928646092884
Brandnuisance,0.9999942332780654
BrihiJ,0.9999879452912108
CauseAnEffekt,0.9999944126198307
ChethanaChandra,0.9999907885512274
DANDGIFTING,0.9999902620465054
DadiJanki,0.9999927287694897
DhritiAggarwal3,0.9999923275790801
DikshaDeo,0.9999910940616978
DjangoGirlsBLR,0.9999826877021275
DrEdonnaA,0.9999951937445604
EnactusIGDTUW,0.9999945231776686
FuzeUsWomen,0.9999930409108402
GlobalGrit,0.9999879346184183
Gopher_Assist,0.9999944431443694
GraceYohannan,0.9999918507388112
GurgaonMoms,0.9999945294477135
HansMVikdal,0.9999960940076821
IWITDoco,0.9999908877427505
Innerveigdtuw,0.9999925673803274
JasmineFolz,0.9999825582369459
Jaspree19633978,0.9999825617934582
Jilfred,0.9999926406631274
KaraleDipti,0.9999931332560466
Kashifs,0.9999911549841478
KeertiGautam,0.9999871543530184
Khushbu85751466,0.9999876045401991
KrohnTraaseth,0.999990779693722
LadiesEmpowerme,0.9999952156677275
LarsNW,0.9999905914854661
LeanInIndia,0.9999891005411576
LeanInMSP,0.9999943876464692
ListantLocal,0.9999925242725076
LuckyDudeThakur,0.9999903491786558
MANMEET01061951,0.999986192178291
MI4Garcetti,0.9999909833011211
MN4Garcetti,0.9999948553653292
ManagerCI,0.9999880412980078
MananS18forever,0.9999911445274533
ManishreeGupta,0.9999926735328439
Manjushabharti8,0.9999866691804846
Mascot6699,0.9999922398113399
Minerva_Panda_,0.9999939208502622
Mkds622,0.9999926041543651
NamrataGupta_10,0.9999859432415198
PRINCE2PROJECT,0.9999760317907012
PaddyTohill,0.9999943072620858
Phoenixplots,0.9999894436048277
PrabhanshuAttri,0.9999940142118664
PragyaSarda,0.9999894424793635
PrateekaKamath,0.9999927290923685
RadioActive90_4,0.9999929870559723
RiyaMRoy,0.999985277177081
RrichaJalota,0.9999932218034233
RuchiAngrish,0.9999848846756941
S1_Kirti,0.9999860358212221
SANTULAN_E,0.9999868521011059
SamikshaSalonia,0.9999861384519857
SeanBeeson,0.9999946963419017
SenecaWomen,0.9999931759929599
Seno34191730,0.9999956028689312
ShankarHarini27,0.9999921281775846
SiriouslySusan,0.9999950566288744
Srushtika,0.9999944899706399
StartupSafarian,0.9999935233300232
Switchbackwelln,0.9999936795108363
TheSoulfulEMU,0.9999913425655123
TristanYLovell,0.9999921656932373
Vamplordharsh,0.9999879641774487
VineetaMotilal,0.9999850642964369
WWCode_Delhi,0.9999951490772874
WorkingWomanTV,0.9999893869913494
ZUMAZIP,0.9999929073442645
_4Programmer,0.9999924661418829
_NavyaSingh_,0.9999899359667026
_dforce,0.9999758807793304
abhishekangira,0.9999934247343223
adityaom1993,0.9999875959333072
ajaytransforme1,0.9999837785981517
alispagnola,0.9999939692553124
allsweetness13,0.9999926517195366
almoravideorg,0.9999954648198282
alquimiashop,0.9999779947395786
altaf0356,0.9999918532487084
amandajanerosso,0.9999934552209289
amo_ag13,0.9999946145413046
ankitpainuly2,0.9999856375275662
anrah,0.9999916332320791
anuragpriagni,0.9999876126294236
anusingh82,0.999994238331861
apurvachawla1,0.9999876234439358
avmenon18,0.9999820854236212
bhuwan_raj,0.9999889933194104
bouali436,0.9999950605726922
callmesaqi,0.9999744731647344
casperstang,0.9999887798202324
chhavip04,0.9999901612785411
chrismoorelive,0.9999736405960752
clouddelhi,0.9999936448322071
computistic,0.9999904892722291
coolgadgetix,0.999985153105185
decisionorg,0.9999924998889321
deeksha291,0.9999923980821092
deepikadangi27,0.9999918839638193
depptea,0.9999898114713592
digitalstrategy,0.9999953963113757
dimpy_chhabra,0.9999910508218438
divein2edtech,0.9999957317845088
divyasmehta,0.9999895487610824
droidchef,0.9999906579627886
freebird1195,0.9999870027727518
girlslikemeinc,0.9999929315855443
goel_pooja_3,0.9999840305353258
goodatservice,0.9999932366034571
gstorro,0.9999934065198459
heyarviind,0.9999848306376119
hilary_badger,0.9999888650995697
iamvikramkumar,0.9999922102248895
imdip_patel,0.9999784610292259
innomag_no,0.9999908230238126
inteligeneit,0.999989818328987
irfanBshah,0.9999921398753375
ishanig8,0.9999886079689718
itsmeridhima,0.9999823166144242
jishnugandhi,0.9999916421414459
joelcomm,0.99999336478062
kaffindia,0.9999924694683411
kapilch999,0.9999903042369925
leaninhansraj,0.9999931896939462
leaninigdtuw,0.999992722068956
leaninumich,0.9999885162631801
legendArora,0.9999920930905086
lisakardos,0.9999636449857188
luvriyabsfuno,0.9999903300470606
maane018,0.9999888590758673
maheshchand2615,0.9999908413844381
manasvi_duggal,0.9999839091191878
map__solutions,0.9999929842844032
me__smarty,0.9999953940546742
meghabagri12,0.9999923836263572
metalwihen,0.9999861268980883
moblico,0.9999937841100685
murriner,0.9999945451018324
myriadbird,0.9999934363924798
namratab94,0.9999920139471249
nancysaini3,0.9999848137564531
negi7megha,0.9999930207630516
nikita_namdev,0.9999877790888689
nikitasingh_nk,0.9999907264828466
poolwallet,0.9999909033039233
poornima,0.9999929443999129
potentialultd,0.9999938295710848
prathameshr,0.9999854642370256
priya_bansal_19,0.9999896203602289
priyal_aggarwal,0.9999932719496695
rachayita_giri,0.9999924481017612
raina_sneha,0.9999873421538905
rajatchikara,0.99998648477358
rajatrarora,0.999992547107019
reigningit,0.9999908731859387
reshusinghhh,0.9999915937499919
rikscr7,0.999991043747833
rio__ani,0.9999941285061963
rohantaneja_,0.9999925966804359
rrai28679,0.9999871403694036
rubenjr77,0.9999926733213935
salaryfairy,0.9999910664009368
sandrapowell1,0.9999790733505322
sangeeta15790,0.9999935210962607
satya_copyright,0.9999952089933253
shahinmanu,0.9999911184704466
shivakshi_,0.9999899383120228
shoemender,0.9999936708868236
sid21g,0.9999950182346995
singhnikhil1234,0.9999865271181543
smitapmishra,0.9999838352193589
sneha_raina98,0.9999880314715128
soha_midha,0.9999891367930969
srivastava_mks,0.9999670015659243
stbaasch,0.9999895842338316
superfitmummy,0.9999912559078478
surmeetmalhotra,0.9999926837019709
tanya_vedi,0.9999866401717555
tanyakhurana28,0.9999889515331308
techSmartMomy,0.999994614214899
tejaskoundinya,0.9999916856311615
tricksy0207,0.9999880878925043
udaykhurana,0.9999883424813347
vaibhavi_023,0.9999865163782231
vandana77205308,0.9999888062288642
vermanotes,0.9999911237075967
vmoorthynow,0.9999926639797019
womenintecuk,0.9999907704068768
yesbazaar1,0.9999927840265505
yinnus,0.999988083726231
yourgiftshopper,0.9999929007664343
zoha_hamid,0.9999926080405355
