id,text,refined_tweets,in_reply_to_user,ids_intweets,original_tweets
990488670946955264,"b""RT @prachim1210: Applications are open for Google Venkat Panchapakesan Memorial Scholarship\n https://t.co/S03RtwsmYs\n\nIt's open for all Ind\xe2\x80\xa6""",applic open googl venkat panchapakesan memori scholarship it open ind…,,['prachim1210'], 
988536955884326912,b'RT @archanaserver: Had an interactive session on Sunday at @innov8cowork!\nThank you @WTM_Delhi and @gdg_nd  for the opportunity also for sw\xe2\x80\xa6',had interact session sunday thank opportun also sw…,,"['archanaserver', 'innov8cowork!', 'WTM_Delhi', 'gdg_nd']", 
988536804797272065,"b""Gave a talk on 'Deep Learning 101' at Extended International Women's Day Celebration, Delhi. It was the first time\xe2\x80\xa6 https://t.co/aJ4VNitzre""",gave talk deep learn extend intern woman day celebr delhi It first time…,,[],gave talk deep learn extend intern woman day celebr delhi It first time…
978662054084014082,b'Covering events after so long! \nOrganizing the launch event of Delhi WiMLDS was an unbelievably amazing experience!\xe2\x80\xa6 https://t.co/W6TX8u188x',cover event long organ launch event delhi wimld unbeliev amaz experience…,,[],cover event long organ launch event delhi wimld unbeliev amaz experience…
976470379244830721,b'RT @JadejaDA: #WomenTechmakers at India Cloud Community Connect at #Gurgaon. https://t.co/DnfRDAXQYS',womentechmak india cloud commun connect gurgaon,,['JadejaDA'], 
974003488622440448,"b'RT @philipplahm: Siebter Viertelfinaleinzug in Folge. Klasse Leistung, @FCBayern \xf0\x9f\x91\x8d\xf0\x9f\x8f\xbc #MiaSanMia'",siebter viertelfinaleinzug folg klass leistung miasanmia,,"['philipplahm', 'FCBayern']", 
974003241422737408,"b""RT @delhi_wimlds: Here's is a great opportunity for #womenintech to enhance your knowledge and skills on #MachineLearning !!\nAttend our con\xe2\x80\xa6""",here great opportun womenintech enhanc knowledg skill machinelearn attend con…,,['delhi_wimlds'], 
969262359351996416,"b""@BrihiJ Still haven't done that \xf0\x9f\x98\x82""",still havent done,BrihiJ,['BrihiJ'],still havent done
969262265202442241,"b'RT @humblethepoet: what did you do today to bring your dreams to life?\n\nif you did nothing, then expect nothing'",today bring dream life noth expect noth,,['humblethepoet'], 
968488059686731776,"b""RT @philipplahm: I've shared outstanding moments and great victories with this club. Happy 118th birthday, @FCBayern! #MiaSanMia https://t.\xe2\x80\xa6""",ive share outstand moment great victori club happi birthday miasanmia,,"['philipplahm', 'FCBayern!']", 
964867410493886470,b'Blog #2\nPeer-taught sessions are not only about explaining a concept but also about keeping the spark alive \xe2\x80\x94 ensur\xe2\x80\xa6 https://t.co/dKECh7AO74',blog peertaught session explain concept also keep spark aliv ensur…,,[],blog peertaught session explain concept also keep spark aliv ensur…
961154356618956802,"b'Almost a year back, @_jessjitsingh_ and I wrote an article dedicated to @edsheeran for our college newsletter. We m\xe2\x80\xa6 https://t.co/BuFocvIvRa'",almost year back I wrote articl dedic colleg newslett We m…,,"['_jessjitsingh_', 'edsheeran']",almost year back I wrote articl dedic colleg newslett We m…
960205311767281664,"b""@TeamSuperDillii @edsheeran Can't wait for Subtraction (-) &lt;3 &lt;3""",cant wait subtract lt3 lt3,TeamSuperDillii,"['TeamSuperDillii', 'edsheeran']",cant wait subtract lt3 lt3
953455306247303168,b'RT @goodfellow_ian: I never heard back from MIT. I got rejected from CMU. I was accepted to U of T but not to work with the PI I wanted the\xe2\x80\xa6',I never heard back mit I got reject cmu I accept U T work PI I want the…,,['goodfellow_ian'], 
952621889150570503,b'From Passion to Profession! \nhttps://t.co/3CU1VoZZS9\n\n@TeamSuperDillii  Thank you for inspiring me to be a better writer!',from passion profess thank inspir better writer,,['TeamSuperDillii'],from passion profess thank inspir better writer
944628435984334848,b'RT @WWCode_Delhi: @shubhi_sareen is killing her session on Deep Dive into Competitive Programming Part 2\n\n#WomenWhoCode_Delhi https://t.co/\xe2\x80\xa6',kill session deep dive competit program part womenwhocodedelhi,,"['WWCode_Delhi', 'shubhi_sareen']", 
939774760971485185,b'@FCBayern Decorating a Christmas Tree ! \xf0\x9f\x8e\x84',decor christma tree,FCBayern,['FCBayern'],decor christma tree
849203513355784192,b'RT @IndiaKaIdea: Winner #SmartIndiaHackathon2017 for @GoI_MeitY at Pune centre - Team Jaan Hitt Me Jaari! Congratulations!! @Persistentsys\xe2\x80\xa6',winner smartindiahackathon2017 pune centr team jaan hitt Me jaari congratul,,"['IndiaKaIdea', 'GoI_MeitY', 'Persistentsys…']", 
826281849186037760,b'@Madhavspeaks @CodessForum \nDone That! Awaiting the reply.',done that await repli,Madhavspeaks,"['Madhavspeaks', 'CodessForum']",done that await repli
826281261719117825,b'@Madhavspeaks Please get this corrected as well. Thank You! :) https://t.co/gufB1i8YGw',,Madhavspeaks,['Madhavspeaks'],
826274815535243265,"b""@CodessForum CoCubes doesn't take in GPA, but in my college percentage system isn't followed. #CodessEvent""",cocub doesnt take gpa colleg percentag system isnt follow codessev,CodessForum,['CodessForum'],cocub doesnt take gpa colleg percentag system isnt follow codessev
826274598995927041,b'@CodessForum CoCubes is not accepting https://t.co/KZ3NdKP1DT. as a valid degree. #CodessEvent',cocub accept valid degre codessev,CodessForum,['CodessForum'],cocub accept valid degre codessev
826274471501721600,"b""@CodessForum The year of graduation for the same should be 2019. But CoCubes doesn't accept it. #CodessEvent""",the year graduat but cocub doesnt accept codessev,CodessForum,['CodessForum'],the year graduat but cocub doesnt accept codessev
826079203019747328,b'@CodessForum What is the Codess Event going to be about? #CodessEvent',what code event go codessev,CodessForum,['CodessForum'],what code event go codessev
