followeeName,Final_Content_Similarity,Final_User_Affinity
abishmathew,0.0,0.35
ajit_ranade,0.4993297697569869,0.35
Alllahdin,0.38990116487824733,0.35
andrestaltz,0.6171474805154837,0.5166666666666666
AnitaBorg_India,0.5729389961736338,0.35
antevens,0.22985478150002275,0.35
AnupamPkher,0.4665890089183402,0.35
BDUTT,0.4030172733967556,0.35
bhanuvrat,0.08644392624312522,0.35
Bill_Gross,0.6751637553231359,0.35
codechef,0.28844431907023,0.35
codeorg,0.6088428819361217,0.35
codinghorror,0.62086458189041,0.35
dnvolz,0.33971077113312426,0.35
ErikHellman,0.6967104363196956,0.35
FacebookOrigami,0.7082508109570423,0.35
GirlsinTech,0.722022825216888,0.6
GirlsWhoCode,0.2667118839760643,0.5166666666666666
GitHubEducation,0.9111977167825688,0.35
github,0.6869120577998373,0.5166666666666666
googlecodejam,0.5990500750440527,0.35
googledevs,0.636381981468436,0.35
googleindia,0.4711739437209528,0.35
gsoc,0.2262889790930177,0.35
hankypanty,0.49992830467286653,0.35
HenryHoffman,1.0,0.35
iamdevloper,0.3196164059915168,0.35
IndiaHistorypic,0.2573960119173117,0.35
IyerAvin,0.6411062126886601,0.35
jhunjhunwala,0.4949282037406497,0.35
kvlly,0.735503037098885,0.35
LalitKModi,0.4334412919390507,0.35
linuxfoundation,0.6963845617195858,0.35
Linux,0.43119536009931936,0.35
madversity,0.6440598725388,0.35
manoharparrikar,0.5367517987422352,0.35
markjaquith,0.7036706678257512,0.35
MarmiteJunction,0.15000845029831236,0.35
mcclure111,0.8987908053394894,0.35
mrsfunnybones,0.6554877431383858,0.35
ndtv,0.3665866904105325,0.35
NestleIndia,0.4151481836824165,0.35
nixxin,0.42452248290846767,0.35
opensourceway,0.600010909109368,0.35
outreachy,0.5322404540514993,0.35
paulg,0.6124268845012706,0.35
planetgit,0.883931196284198,0.5166666666666666
pranavmistry,0.6521436050892256,0.35
prasannakarthik,0.6423926068483009,0.35
RegexTip,0.5369022196395388,0.35
republic,0.560658682723484,0.35
ShashiTharoor,0.0,0.35
SirPareshRawal,0.533169183384997,0.35
Slysterr,0.29156368695973417,0.35
sundarpichai,0.6944657891781657,0.35
TamilaninCinema,0.9442076149410985,0.5166666666666666
TapasweniPathak,0.5669307327690971,0.6833333333333333
thetanmay,0.1923278244115696,0.5166666666666666
TimesNow,0.5952157844483353,0.35
virendersehwag,0.0,0.35
WomenWhoCode,0.6138553574346952,0.35
xeni,0.6576141477804824,0.35
